Country,Economic status1,Coastal population2,Waste generation rate [kg/person/day]3,% Plastic in waste stream4,% Inadequately managed waste5,% Littered waste6,Waste generation [kg/day]7,Plastic waste generation [kg/day]7,Inadequately managed plastic waste [kg/day]7,"Plastic waste littered
 [kg/day]7",Mismanaged plastic waste [kg/person/day]7,"Mismanaged plastic waste in 2010
 [tonnes]7","Mismanaged plastic waste in 2025
 [tonnes]7"
Mozambique,LI,"95,66,559",0.14,11,84,2,"13,39,318","1,46,655","1,23,081","2,933",0.013,"45,995"," 2,87,067 "
Namibia8,UMI,"1,55,084",1.2,12,66,2,"1,86,101","22,239","14,570",445,0.097,"5,480"," 11,340 "
Nauru,UMI,"15,289",1.2,12,67,2,"18,347","2,192","1,473",44,0.099,554," 1,043 "
Netherlands,HIC,"89,71,770",2.12,20,0,2,"1,90,20,152","37,94,520",0,"75,890",0.008,"27,700"," 32,387 "
Netherlands Antilles,HIC,"2,27,165",2.1,12,0,2,"4,77,047","57,007",0,"1,140",0.005,416, 368 
New Caledonia,HIC,"2,57,904",2.1,12,0,2,"5,41,598","64,721",0,"1,294",0.005,472, 702 
New Zealand,HIC,"38,62,054",3.68,9,0,2,"1,42,12,359","12,72,006",0,"25,440",0.007,"9,286"," 11,517 "
Nicaragua,LMI,"34,82,653",1.1,13,45,2,"38,30,918","4,96,104","2,21,353","9,922",0.066,"84,415"," 1,69,439 "
Nigeria8,LMI,"2,74,77,112",0.79,13,81,2,"2,17,06,918","28,11,046","22,76,636","56,221",0.085,"8,51,493"," 24,81,008 "
Niue,HIC,"1,799",2.1,12,0,2,"3,778",451,1,9,0.006,4, 5 
Norfolk Island,LMI,"2,156",0.79,13,82,2,"1,703",221,182,4,0.086,68, 156 
Northern Mariana Islands,HIC,"1,06,256",2.1,12,0,2,"2,23,138","26,665",66,533,0.006,219, 309 
Norway,HIC,"41,31,679",2.8,10,0,2,"1,15,68,701","11,51,086",0,"23,022",0.006,"8,403"," 9,798 "
Oman,HIC,"25,97,556",0.7,12,4,2,"18,18,289","2,17,286","8,416","4,346",0.005,"4,658"," 11,774 "
Pakistan8,LMI,"1,45,81,952",0.79,13,86,2,"1,15,19,742","14,91,807","12,86,583","29,836",0.090,"4,80,493"," 12,21,460 "
Palau,UMI,"23,446",1.2,12,56,2,"28,135","3,362","1,895",67,0.084,716," 1,350 "
Palestine (Gaza Strip is only part on the coast),LMI,"30,45,258",0.79,8,6,2,"24,05,754","1,91,257","11,515","3,825",0.005,"5,599"," 18,676 "
Panama,UMI,"32,49,531",1.21,12,18,2,"39,31,933","4,69,866","84,815","9,397",0.029,"34,388"," 70,759 "
Papua New Guinea,LMI,"27,47,514",0.79,13,86,2,"21,70,536","2,81,084","2,40,502","5,622",0.090,"89,835"," 2,42,328 "
Peru8,UMI,"1,37,65,608",1.2,12,25,2,"1,65,18,730","19,73,988","4,93,267","39,480",0.039,"1,94,453"," 3,77,111 "
Philippines,LMI,"8,34,46,862",0.5,15,81,2,"4,17,23,431","62,37,653","50,35,956","1,24,753",0.062,"18,83,659"," 50,88,394 "
Poland,UMI,"32,72,933",0.88,11,12,2,"28,80,181","3,15,380","36,715","6,308",0.013,"15,703"," 26,855 "
Portugal,HIC,"85,07,951",2.21,12,0,2,"1,88,02,572","22,46,907",0,"44,938",0.005,"16,402"," 19,382 "
Puerto Rico,HIC,"42,49,848",2.1,12,2,2,"89,24,681","10,66,499","23,923","21,330",0.011,"16,517"," 20,481 "
Qatar,HIC,"6,53,007",1.33,12,0,2,"8,68,499","1,03,786",0,"2,076",0.003,758," 1,560 "
Reunion,UMI,"8,09,426",1.2,12,0,2,"9,71,311","1,16,072",0,"2,321",0.003,847," 1,615 "
Romania,UMI,"8,75,170",1.04,4,26,2,"9,10,177","35,952","9,172",719,0.011,"3,610"," 8,261 "
Russia,UMI,"1,08,12,537",0.93,12,16,2,"1,00,55,659","12,01,651","1,97,226","24,033",0.020,"80,759"," 1,28,946 "
Saint Helena,UMI,"6,839",1.2,12,25,2,"8,207",981,244,20,0.039,96, 182 
Saint Kitts and Nevis,UMI,"36,102",5.45,12,6,2,"1,96,756","23,512","1,489",470,0.054,715, 742 
Saint Lucia,UMI,"1,63,227",4.35,12,20,2,"7,10,037","84,849","16,683","1,697",0.113,"6,709"," 8,610 "
"Saint Maarten, DWI",HIC,"37,429",2.1,12,0,2,"78,601","9,393",3,188,0.005,70, 98 
Saint Pierre,HIC,"5,888",2.1,12,0,2,"12,365","1,478",0,30,0.005,11, 15 
Saint Vincent and the Grenadines,UMI,"1,20,149",1.7,13,21,2,"2,04,253","26,451","5,621",529,0.051,"2,245"," 2,996 "
Samoa,LMI,"1,68,025",0.79,13,80,2,"1,32,740","17,190","13,688",344,0.084,"5,122"," 10,989 "
Sao Tome and Principe8,LMI,"1,63,740",0.79,13,81,2,"1,29,355","16,751","13,587",335,0.085,"5,081"," 13,309 "
Saudi Arabia,HIC,"35,93,471",1.3,12,8,2,"46,71,512","5,58,246","45,142","11,165",0.016,"20,552"," 43,855 "
Senegal8,LMI,"81,25,063",0.79,13,82,2,"64,18,800","8,31,235","6,81,376","16,625",0.086,"2,54,770"," 7,38,264 "
Seychelles,UMI,"91,361",2.98,12,37,2,"2,72,256","32,535","12,005",651,0.139,"4,619"," 5,478 "
Sierra Leone,LI,"28,87,017",0.45,9,84,2,"12,99,158","1,16,275","97,423","2,325",0.035,"36,408"," 1,21,312 "
Singapore,HIC,"44,92,494",1.49,13,0,2,"66,93,816","8,66,849",393,"17,337",0.004,"6,472"," 10,878 "
Slovenia,HIC,"3,36,594",1.21,12,1,2,"4,07,279","48,670",550,973,0.005,556, 985 
Solomon Islands8,LMI,"6,18,678",0.79,13,86,2,"4,88,756","63,294","54,608","1,266",0.090,"20,394"," 1,76,589 "
Somalia,LI,"59,71,169",0.6,9,85,2,"35,82,701","3,20,652","2,71,753","6,413",0.047,"1,01,531"," 2,89,601 "
South Africa,UMI,"1,28,99,201",2,12,54,2,"2,57,98,402","30,82,909","16,64,382","61,658",0.134,"6,30,005"," 8,36,279 "
Spain,HIC,"2,27,71,488",2.13,13,0,2,"4,85,03,269","62,81,173",0,"1,25,623",0.006,"45,853"," 58,932 "
Sri Lanka,LMI,"1,45,68,174",5.1,7,82,2,"7,42,97,687","51,63,689","42,56,120","1,03,274",0.299,"15,91,179"," 19,18,670 "
Sudan,LMI,"7,52,529",0.79,13,80,2,"5,94,498","76,987","61,277","1,540",0.083,"22,928"," 52,061 "
Suriname,UMI,"4,02,263",1.36,12,15,2,"5,47,078","65,376","9,493","1,308",0.027,"3,942"," 6,394 "
Svalbard,LMI,"2,226",0.79,13,0,2,"1,759",228,0,5,0.002,2, 4 
Sweden,HIC,"62,02,234",1.61,3,0,2,"99,85,597","2,94,575",0,"5,892",0.001,"2,150"," 5,245 "
Syria,LMI,"36,21,997",1.37,13,65,2,"49,62,136","6,42,597","4,19,763","12,852",0.119,"1,57,904"," 3,04,960 "
Taiwan,HIC,"2,22,11,567",2.1,12,0,2,"4,66,44,291","55,73,993","13,776","1,11,480",0.006,"45,718"," 64,631 "
Tanzania,LI,"66,88,695",0.26,9,84,2,"17,39,061","1,55,646","1,29,999","3,113",0.020,"48,586"," 2,14,196 "
Thailand8,UMI,"2,60,43,442",1.2,12,73,2,"3,12,52,130","37,34,630","27,41,031","74,693",0.108,"10,27,739"," 21,79,508 "
The Gambia,LI,"13,24,214",0.53,9,84,2,"7,01,833","62,814","52,485","1,256",0.041,"19,616"," 53,498 "
Togo,LI,"19,91,642",0.52,11,84,2,"10,35,654","1,13,404","94,721","2,268",0.049,"35,401"," 96,994 "
Tokelau,LMI,"1,379",0.79,13,82,2,"1,089",141,116,3,0.086,43, 100 
Tonga,LMI,"1,02,872",3.71,6,78,2,"3,81,655","22,708","17,694",454,0.176,"6,624"," 10,272 "
Trinidad and Tobago,HIC,"13,58,433",14.4,25,3,2,"1,95,61,435","48,80,578","1,60,103","97,612",0.190,"94,066"," 73,512 "
Tunisia8,UMI,"72,74,973",1.2,12,60,2,"87,29,968","10,43,231","6,21,077","20,865",0.088,"2,34,309"," 4,40,701 "
Turkey,UMI,"3,40,42,862",1.77,12,16,2,"6,02,55,866","72,00,576","11,87,323","1,44,012",0.039,"4,85,937"," 7,90,235 "
Turks and Caicos Islands,HIC,"22,570",2.1,12,0,2,"47,397","5,664",22,113,0.006,49, 70 
Tuvalu,UMI,"11,563",1.2,12,73,2,"13,876","1,658","1,218",33,0.108,457, 861 
Ukraine,LMI,"68,12,799",0.79,13,49,2,"53,82,111","6,96,983","3,38,841","13,940",0.052,"1,28,765"," 2,33,388 "
United Arab Emirates,HIC,"20,18,302",1.66,12,0,2,"33,50,381","4,00,371",256,"8,007",0.004,"3,016"," 5,910 "
United Kingdom,HIC,"4,32,58,889",1.79,12,0,2,"7,74,33,411","92,53,293",0,"1,85,066",0.004,"67,549"," 94,165 "
United States,HIC,"11,29,25,034",2.58,13,0,2,"29,13,46,588","3,77,29,383",0,"7,54,588",0.007,"2,75,424"," 3,36,819 "
Uruguay8,HIC,"24,33,597",2.1,12,8,2,"51,10,554","6,10,711","46,861","12,214",0.024,"21,562"," 8,037 "
USVI,HIC,"1,34,219",2.1,12,0,2,"2,81,860","33,682",11,674,0.005,250, 296 
Vanuatu,LMI,"2,51,851",3.28,9,81,2,"8,26,071","73,933","60,104","1,479",0.245,"22,478"," 38,006 "
Venezuela8,HIC,"1,60,94,897",2.1,12,5,2,"3,37,99,284","40,39,014","1,99,585","80,780",0.017,"1,02,333"," 1,54,243 "
Vietnam8,LMI,"5,58,58,245",0.79,13,86,2,"4,41,28,014","57,14,578","49,09,870","1,14,292",0.090,"18,33,819"," 41,72,828 "
Yemen,LMI,"60,48,920",0.79,13,73,2,"47,78,647","6,18,835","4,51,134","12,377",0.077,"1,69,181"," 5,13,907 "
,,,,,,,,,,,Total,"3,18,65,274","6,91,43,290"
,Notes:,,,,,,,,,,,,
,1 - Based upon 2010 Gross National Income,,,,,,,,,,,,
,2 - Based upon a 50 km coastal buffer created in GIS with global population densities24,,,,,,,,,,,,
,"3 - Bold data were taken directly from World Bank estimates6,21",,,,,,,,,,,,
,"4 - Bold data were taken directly from World Bank estimates6,21 ",,,,,,,,,,,,
,5 - Using a model developed for this study (see Supplemental Information),,,,,,,,,,,,
,6 - From U.S. national litter study22,,,,,,,,,,,,
,7 - Calculated values,,,,,,,,,,,,
,8 - Economic status changed from 2005 to 20106; waste generation rate and %plastic were assigned using average values for the 2010 economic category ,,,,,,,,,,,,
